shared-mime-info 2.4-1
simdjson 1:3.12.2-1
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.4-2
snappy 1.2.1-2
sndio 1.10.0-1
socat 1.8.0.3-1
sof-firmware 2025.01-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
spandsp 0.0.6-5
spdlog 1.15.1-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.309.0-1
sqlite 3.49.1-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
stoken 0.92-4
sudo 1.9.16.p2-2
svt-av1 3.0.1-1
svt-hevc 1.5.1-3
swappy 1.5.1-2
swaync 0.10.1-4
swww 0.9.5-2
sysfsutils 2.1.1-2
systemd 257.4-1
systemd-libs 257.4-1
systemd-resolvconf 257.4-1
systemd-sysvcompat 257.4-1
taglib 2.0.2-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
teamviewer 15.63.4-1
terraform 1.11.2-1
texinfo 7.2-1
thin-provisioning-tools 1.1.0-1
thunar 4.20.2-1
thunar-archive-plugin 0.5.3-1
thunar-volman 4.20.0-2
tinysparql 3.8.2-3
tldr 3.3.0-2
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tslib 1.23-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
ttf-fantasque-nerd 3.3.0-1
ttf-fira-code 6.2-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
ttf-victor-mono 1.5.6-1
tumbler 4.20.0-2
typescript 5.8.2-1
tzdata 2025a-1
uchardet 0.0.8-3
udisks2 2.10.1-5
umockdev 0.18.4-1
unrar 1:7.1.5-1
unzip 6.0-22
upower 1.90.7-1
usb_modeswitch 2.6.2-1
usbutils 018-1
util-linux 2.40.4-1
util-linux-libs 2.40.4-1
v4l-utils 1.28.1-2
v4l2loopback-dkms 0.14.0-1
vapoursynth R70-2
vi 1:070224-6
vid.stab 1.1.1-2
visual-studio-code-bin 1.98.2-1
vlc 3.0.21-15
vmaf 3.0.0-1
volume_key 0.3.12-10
vpnc 1:0.5.3.r539.r239-1
vulkan-headers 1:1.4.304.1-2
vulkan-icd-loader 1.4.304.1-1
vulkan-radeon 1:25.0.1-2
wallust 3.2.0-2
waybar 0.12.0-1
wayland 1.23.1-1
wayland-protocols 1.41-1
webkit2gtk-4.1 2.46.6-2
webrtc-audio-processing-1 1.3-4
wget 1.25.0-1
which 2.23-1
wildmidi 0.4.6-1
wireplumber 0.5.8-1
